attributo,id,commento_raw,caption,candidato_ok,nuova_classe
Aroma,541,"tostato male, mandorla amara, brodo animale","È tostato male, con note di mandorla amara e brodo animale.",True,OK
Aroma,547,"note di marcio, fermantato, animale","Note di marcio, fermentato, animale.",True,OK
Aroma,548,"emmenthal, brodo",Emmental e brodo.,True,OK
Aroma,553,propionico,Propionico.,True,OK
Aroma,557,cotto,Cotto.,True,OK
Aroma,558,brodo di carne,Brodo di carne.,True,OK
Aroma,559,panna,Panna.,True,OK
Aroma,560,formaggio cotto,Formaggio cotto.,True,OK
Aroma,561,panna,Panna.,True,OK
Aroma,569,latte,Latte.,True,OK
Aroma,570,burro,Burro.,True,OK
Aroma,575,"burro e panna ,",Burro e panna.,True,OK
Aroma,581,"lattico di panna, burro, formaggio grasso gradevole","Lattico di panna, burro, formaggio grasso gradevole.",True,OK
Aroma,588,"grasso, brodo, burro","Grasso, brodo e burro.",True,OK
Aroma,601,crosta e ossidato,Crosta e ossidato.,True,OK
Aroma,620,fungo;muffa,Si avverte un aroma di fungo e muffa.,True,OK
Aroma,621,formaggio cotto,Il formaggio ha un sapore cotto.,True,OK
Aroma,641,"nota di formaggio cotto e crosta di formaggio, ricorda un po un formaggio nostrano","Si percepiscono note di formaggio cotto e crosta, ricorda un formaggio nostrano.",True,OK
Aroma,646,animale/paglia/letame,"Si avvertono sentori di animale, paglia e letame.",True,OK
Aroma,649,latte,Si percepisce il latte.,True,OK
Aroma,653,panna vegetale non tanto da grana,La panna vegetale non ricorda molto il grana.,True,OK
Aroma,661,vegetale balsamico,Si avverte un aroma vegetale balsamico.,True,OK
Aroma,664,"nocciola tostato, caramello scuro, tostati decisi, brodo di carne","Si percepiscono nocciola tostata, caramello scuro, tostati decisi e brodo di carne.",True,OK
Aroma,667,"poco caratteristico, propionico e di brodo di carne, tipo emmental","È poco caratteristico, con note propioniche e di brodo di carne, simile all'emmental.",True,OK
Aroma,672,"latte cotto troppo, cacao, caramello, brodo di carne","Si avvertono latte cotto eccessivamente, cacao, caramello e brodo di carne.",True,OK
Aroma,673,non da grana biscotto,"Non ha il sapore di grana, ricorda un biscotto.",True,OK
Aroma,681,brodo vegetale;,Si percepisce un brodo vegetale.,True,OK
Aroma,685,vegetale non grana,Il sapore è vegetale e non ricorda il grana.,True,OK
Aroma,686,cavolfiore,Ha un aroma di cavolfiore.,True,OK
Aroma,693,"piatto, monocorde, frutta fermentata, cartone, note di nostrano","Il gusto è piatto e monocorde, con note di frutta fermentata e cartone.",True,OK
Aroma,695,panna non prorio da grana,La panna non è tipica del grana.,True,OK
Aroma,697,formaggio FERMENTATO MOLTO FORTE;;RANCIDO FORTE,Il formaggio ha un sapore molto forte e rancido.,True,OK
Aroma,701,fromaggio cotto,Il formaggio è cotto.,True,OK
Aroma,703,brodo di carne,Si percepisce un aroma di brodo di carne.,True,OK
Aroma,704,sentori di brodo e burro cotto,Ci sono sentori di brodo e burro cotto.,True,OK
Aroma,719,brodo di carne,Si sente nuovamente il brodo di carne.,True,OK
Aroma,721,formaggio cotto,Il formaggio è cotto.,True,OK
Aroma,722,panna,Si percepisce la panna.,True,OK
Aroma,725,burro bruciato e brodo,Ci sono note di burro bruciato e brodo.,True,OK
Aroma,727,tostato e brodo di carne,Il sapore è tostato con note di brodo di carne.,True,OK
Aroma,728,panna e vegetale,Si sentono panna e note vegetali.,True,OK
Aroma,732,formaggio cotto,Il formaggio è cotto.,True,OK
Aroma,733,panna,Si percepisce la panna.,True,OK
Aroma,734,"burro fuso, panna.",Ci sono note di burro fuso e panna.,True,OK
Aroma,737,"cipolla, cavolfiore",Cipolla e cavolfiore.,True,OK
Aroma,738,cotto,Cotto.,True,OK
Aroma,741,formaggio cotto&crosta,Formaggio cotto con crosta.,True,OK
Aroma,742,"frutta fermentata, latte uht, dado industriale","Frutta fermentata, latte UHT e dado industriale.",True,OK
Aroma,759,"non grana, fermentato, anomalo","Non è grana, è fermentato e anomalo.",True,OK
Aroma,760,"vegetale secco, brodo, burro fuso, pi\ in generale lattico cotto","Vegetale secco, brodo e burro fuso, in generale lattico cotto.",True,OK
Aroma,761,"burro,  crosta di formaggio che resta",Burro e crosta di formaggio che resta.,True,OK
Aroma,762,"leggeri cotto e crosta, meglio l-aroma dell-odore","Leggeri sentori di cotto e crosta, meglio l'aroma dell'odore.",True,OK
Aroma,763,panna ma da nostrano e poco da grana,"Panna, ma da latte nostrano e poco da grana.",True,OK
Aroma,772,formaggio cotto e crosta,Formaggio cotto e crosta.,True,OK
Aroma,781,panna,Panna.,True,OK
Aroma,783,latte e burro crudi,Latte e burro crudi.,True,OK
Aroma,801,latte cotto,Latte cotto.,True,OK
Aroma,803,lattico cotto,Lattico cotto.,True,OK
Aroma,806,"brodo, provolone",Brodo e provolone.,True,OK
Aroma,822,principalmente lattico cotto,Principalmente lattico cotto.,True,OK
Aroma,831,cotto gorgonzola,Cotto gorgonzola.,True,OK
Aroma,836,brodo di carne lalattico cotto,Brodo di carne e lattico cotto.,True,OK
Aroma,838,latte,Latte.,True,OK
Aroma,841,brodo e fromaggio cotto,Brodo e formaggio cotto.,True,OK
Aroma,842,panna,Panna.,True,OK
Aroma,845,panna,Panna.,True,OK
Aroma,861,"note aromatiche pi\ tipiche del nostrano che del grana, formaggio cotto, crosta di formaggio","Note aromatiche più tipiche del nostrano che del grana, formaggio cotto e crosta di formaggio.",True,OK
Aroma,903,"non caratteristico, di formaggio svizzero, fruttato, latte cotto","Non caratteristico, ricorda un formaggio svizzero, con note fruttate e di latte cotto.",True,OK
Aroma,922,panna,Sapore di panna.,True,OK
Aroma,923,tostato e brodo,Note tostate e di brodo.,True,OK
Aroma,936,vegetale cotto,Sapore di vegetale cotto.,True,OK
Aroma,939,brodo,Sapore di brodo.,True,OK
Aroma,961,"grana, burro",Sapore di grana e burro.,True,OK
Aroma,962,panna,Sapore di panna.,True,OK
Aroma,968,panna,Sapore di panna.,True,OK
Aroma,976,panna vegetale,Panna vegetale.,True,OK
Aroma,981,"grana, burro",Sapore di grana e burro.,True,OK
Aroma,1041,"note aromatiche poco caratteristiche, crosta di formaggio, formaggio cotto, tela bagnata, acqua stagnante, comunque presente nota lattica di buroo","Le note aromatiche sono poco caratteristiche, con crosta di formaggio, formaggio cotto, tela bagnata e acqua stagnante, ma è presente una nota lattica di burro.",True,OK
Aroma,1044,latte,Sapore di latte.,True,OK
Aroma,1054,latte non da grana,Latte che non ha caratteristiche da grana.,True,OK
Aroma,1084,"crosta e ossidato molto leggero, latticino fresco tipo quark","Crosta e ossidazione molto leggera, con latticino fresco tipo quark.",True,OK
Aroma,1089,vegetale + panna,Sapore vegetale con panna.,True,OK
Aroma,1090,fungo,Sapore di fungo.,True,OK
Aroma,1091,latte e brodo,Sapore di latte e brodo.,True,OK
Aroma,1092,cavolfiore,Sapore di cavolfiore.,True,OK
Aroma,1,Provolone,Provolone,False,OK
Aroma,2,Provolone,Provolone,False,OK
Aroma,3,Non da grana,Non ha un sapore di grana.,False,OK
Aroma,4,Cipolla,Cipolla.,False,OK
Aroma,19,Provolone o nostrano lievemente piccante,Provolone o nostrano lievemente piccante.,False,OK
Aroma,23,Cipolla,Cipolla.,False,OK
Aroma,24,Lettiera,Lettiera.,False,OK
Aroma,26,Crauti,Crauti.,False,OK
Aroma,41,Glutammato dominante,Glutammato dominante.,False,
Aroma,42,Inesistente,Inesistente.,False,OK
Aroma,43,"Erbe amare, carne lessa",Erbe amare e carne lessa.,False,OK
Aroma,44,Carne lessa,Carne lessa.,False,OK
Aroma,47,Carne lessa,Carne lessa.,False,OK
Aroma,48,Carne lessa,Carne lessa.,False,OK
Aroma,49,Carne lessa,Carne lessa.,False,OK
Aroma,53,Sapone,Sapone.,False,OK
Aroma,54,Inconsistente,Inconsistente.,False,
Aroma,55,"Cacao amaro vecchio, medicinale",Cacao amaro vecchio e medicinale.,False,OK
Aroma,67,Sentore di ragù,Sentore di ragù.,False,OK
Aroma,73,Salame,Salame,False,OK
Aroma,91,Groviera,Groviera,False,OK
Aroma,101,Strano comunque,È strano comunque.,False,
Aroma,102,"Si, vi avevo detto che sono raffreddato. Nel mangiarlo e nel sentire l'aroma mi è arrivata un sentore non tipico di formaggio grana, chiamo gorgonzola","Ho notato un aroma non tipico di formaggio grana, simile al gorgonzola.",False,OK
Aroma,107,Non piacevole!!!,Non è piacevole.,False,
Aroma,108,Non apprezzabile,Non è apprezzabile.,False,
Aroma,117,Non sono riuscita ad assaggiarlo ha un indefinibile orribile aroma dolciastro,"Non sono riuscita ad assaggiarlo, ha un aroma dolciastro orribile.",False,OK
Aroma,125,Formaggio non grana... Ma non so dare definizione esatta,"Non è un formaggio grana, ma non riesco a definirlo esattamente.",False,
Aroma,161,Yogurt,Yogurt.,False,OK
Aroma,181,Più fumo che bruciato,Ha più sapore di fumo che di bruciato.,False,OK
Aroma,204,Aroma compromesso dal troppo salato,L'aroma è compromesso dal troppo sale.,False,OK
Aroma,209,"Il voto inerente a stalla sono stati due momenti e poi sparisce subito, per il salato ne manca un po’","Il voto per l'aroma di stalla è stato due momenti, poi sparisce subito; per il salato ne manca un po'.",False,OK
Aroma,214,All’aroma non sento più il provolone…,Non sento più l'aroma di provolone.,False,OK
Aroma,219,Formaggio con presunta struttura stirata,Formaggio con una presunta struttura stirata.,False,
Aroma,228,emmethal,Emmental.,False,OK
Aroma,241,"cuoio, pepe, crosta di grana","Cuoio, pepe, crosta di grana.",False,OK
Aroma,281,sentore di stalla e crosta,Si percepiscono sentori di stalla e crosta.,False,OK
Aroma,282,"floreale ritrovato, lattici cotti",Ci sono note floreali e di lattici cotti.,False,OK
Aroma,309,"PEPE, VERDURE COTTE",Si percepiscono note di pepe e verdure cotte.,False,OK
Aroma,341,provolone,Il formaggio è un provolone.,False,OK
Aroma,368,ricorda un formaggio per; non tipico da grana,Ricorda un formaggio non tipico da grana.,False,OK
Aroma,438,non da grana emmental,Non ricorda il grana emmental.,False,OK
Aroma,442,"formaggio erborinato,",È un formaggio erborinato.,False,OK
Aroma,474,"quanta stalla, signora mia!",Ha un forte odore di stalla.,False,OK
Aroma,480,stalla e crosta,Si percepiscono note di stalla e crosta.,False,OK
Aroma,481,medio... forse ricorda altri formaggi rispetto al retrogusto grana,È di media intensità e ricorda altri formaggi rispetto al retrogusto di grana.,False,OK
Aroma,485,sedano,Ha un aroma di sedano.,False,OK
Aroma,502,atipico come al naso,È atipico all'olfatto.,False,OK
Aroma,521,"crosta di grana,",Presenta una crosta di grana.,False,OK
Aroma,542,note da emmenthal...,Ha note che ricordano l'emmenthal.,False,OK
Aroma,544,crosta,Crosta.,False,OK
Aroma,546,minestrone verdura,Minestrone di verdura.,False,OK
Aroma,550,non sa di grana,Non sa di grana.,False,OK
Aroma,551,emmental,Emmental.,False,OK
Aroma,565,sento emmental,Sento emmental.,False,OK
Aroma,582,"frutta, grana",Frutta e grana.,False,OK
Aroma,602,"inizialmente non troppo positivi, poi crosta di formaggio grana,","Inizialmente non molto positivi, poi si percepisce la crosta di formaggio grana.",False,OK
Aroma,614,formaggio pronto,Il formaggio è pronto.,False,
Aroma,622,"sa di altro, non di grana trentino","Ha un sapore diverso, non di grana trentino.",False,OK
Aroma,663,formaggio piacevole ma non e' grana,Il formaggio è piacevole ma non è grana.,False,OK
Aroma,666,crosta di formaggio,Si avverte la crosta di formaggio.,False,OK
Aroma,675,"note di emmental, propioniche, frutta tropicale, poco complesso e poco caratteristico","Si percepiscono note di emmental, propioniche e frutta tropicale, poco complesso e caratteristico.",False,OK
Aroma,680,crosta di formaggio,Si avverte la crosta di formaggio.,False,OK
Aroma,682,"pessimo, poco caratteristico, acqua di fogna, marcio","È pessimo, poco caratteristico, con un sapore di acqua di fogna e marcio.",False,OK
Aroma,688,come alla prima olfazione nasale sento una nota di formaggio non tipico trentingrana,All'olfatto si percepisce una nota di formaggio non tipico del Trentingrana.,False,OK
Aroma,690,non da grana malga o altro formaggio,"Non ha il sapore del grana, della malga o di altri formaggi.",False,OK
Aroma,730,"lattici cotti,",Ci sono sentori di lattici cotti.,False,OK
Aroma,764,crosta di formaggio,Crosta di formaggio.,False,OK
Aroma,765,pesce,Pesce.,False,OK
Aroma,771,non da grana stagionato,Non è grana stagionato.,False,OK
Aroma,802,crosta di formaggio,Crosta di formaggio.,False,OK
Aroma,805,"lattici cotti,",Lattici cotti.,False,OK
Aroma,814,"lattici cotti,",Lattici cotti.,False,OK
Aroma,821,"lattici cotti,",Lattici cotti.,False,OK
Aroma,825,crosta di formaggio,Crosta di formaggio.,False,OK
Aroma,846,crosta di formaggio,Crosta di formaggio.,False,OK
Aroma,853,"crosta di formaggio, formaggio fuso",Crosta di formaggio e formaggio fuso.,False,OK
Aroma,864,crosta di formaggio,Crosta di formaggio.,False,OK
Aroma,865,crosta,Crosta.,False,OK
Aroma,868,formaggio fuso,Formaggio fuso.,False,OK
Aroma,876,crosta di formaggio,Crosta di formaggio.,False,OK
Aroma,882,una punta acida e crosta,Una punta acida e crosta.,False,OK
Aroma,900,ancora taleggio/gorgonzola,Ancora taleggio o gorgonzola.,False,OK
Aroma,901,"non tipico del grana, nostrano","Non tipico del grana, nostrano.",False,OK
Aroma,905,non tipico del grana,Non tipico del grana.,False,OK
Aroma,926,"lattici cotti, carne lessa",Sapore di lattici cotti e carne lessa.,False,OK
Aroma,929,provolone piccante moderato,Provolone piccante in modo moderato.,False,OK
Aroma,946,nota da gorgonzola non piacevole...,Nota di gorgonzola poco piacevole.,False,OK
Aroma,949,povero rispetto a lnaso,Povero rispetto al naso.,False,OK
Aroma,954,non da grana difetto,"Non da grana, presenta un difetto.",False,OK
Aroma,966,formaggio stagionato,Formaggio stagionato.,False,OK
Aroma,982,lsentori lattici,Sentori lattici.,False,OK
Aroma,984,ritorna la crosta,Ritorna la crosta.,False,OK
Aroma,994,non grana. non tipico,"Non è grana, non è tipico.",False,OK
Aroma,998,non da grana,Non ha caratteristiche da grana.,False,OK
Aroma,1049,crosta di formaggio&pasta cotta,Crosta di formaggio e pasta cotta.,False,OK
Aroma,1061,mi sembra provolone,Mi sembra un provolone.,False,OK
Profumo,1,Balsamico liquirizia,Sapore di balsamico e liquirizia.,True,OK
Profumo,36,Vegetale balsamico,Note vegetali e balsamiche.,True,OK
Profumo,43,Vegetale balsamico,Profumo vegetale e balsamico.,True,OK
Profumo,60,Leggero gomma bruciata,Leggero sentore di gomma bruciata.,True,OK
Profumo,61,Un solo pezzo aveva un pessimo odore,Un pezzo aveva un pessimo odore.,True,OK
Profumo,64,Vegetale balsamico,Profumo vegetale e balsamico.,True,OK
Profumo,96,"Un campione con odore positivo, 3 con odore negativo","Un campione ha un odore positivo, tre hanno un odore negativo.",True,OK
Profumo,106,Alle prime operazioni sgradevole odore di grasso animale ossidato,Alle prime operazioni si percepisce un sgradevole odore di grasso animale ossidato.,True,OK
Profumo,121,"Molto diverso alle apertura e spezzando i pezzi. Fresco prima, più stagionato poi","Molto diverso all'apertura e spezzando i pezzi; fresco prima, più stagionato poi.",True,OK
Profumo,129,"Molto diverso alle apertura e spezzando i pezzi. Fresco prima, più stagionato poi","Molto diverso all'apertura e spezzando i pezzi; fresco prima, più stagionato poi.",True,OK
Profumo,141,Sentore di legno,Sentore di legno.,True,OK
Profumo,152,Note quasi di puzzone alla prima olfazione,Alla prima olfazione si percepiscono note quasi di puzzone.,True,OK
Profumo,161,"Odore iniziale non convincente, poi sfuma","L'odore iniziale non è convincente, poi svanisce.",True,OK
Profumo,164,Leggero e non complesso,È leggero e non complesso.,True,OK
Profumo,168,Spezzando un pezzo no percepito un leggero odore di cipolla,"Spezzando un pezzo, si percepisce un leggero odore di cipolla.",True,OK
Profumo,183,"Al primo olfatto, sfumatura non gradevole","Alla prima olfazione, c'è una sfumatura non gradevole.",True,OK
Profumo,196,Il sentore di nostrano é un dubbio,Ho dei dubbi sul sentore di nostrano.,True,OK
Profumo,229,"Dado, glutammato molto forte e spiacevole",C'è un forte e spiacevole aroma di dado e glutammato.,True,OK
Profumo,239,"Alla prima olfazione odore anomalo, di altro formaggio quantomeno.","Alla prima olfazione percepisco un odore anomalo, di un altro formaggio.",True,OK
Profumo,250,Media intensità. Sentore anomalo (nostrano),Intensità media con un sentore anomalo.,True,OK
Profumo,260,"Tanto latte, burro fresco. Alla prima occasione odore di altro formaggio, fermentato che mi fa penalizzare.","Dominano sentori di latte e burro fresco, ma c'è un odore di formaggio fermentato che penalizza.",True,OK
Profumo,261,"Lattico dominante, burro fresco",Sentore lattico dominante con burro fresco.,True,OK
Profumo,262,Fermentato intendo alcool,Per fermentato intendo un odore di alcool.,True,OK
Profumo,270,"Alla prima occasione percepito un odore non gradevole, poi scomparso. Non so definirlo, quindi non penalizzo","Alla prima occasione ho percepito un odore sgradevole, poi scomparso.",True,OK
Profumo,272,Lettiera note animali,Note animali simili a lettiera.,True,OK
Profumo,278,"Sedano. Troppo vegetale cotto, abbasso voto. Altrimenti molto intenso","Sentore di sedano e troppo vegetale cotto, abbasso il voto.",True,OK
Profumo,323,Solo all'apertura odore stantio,Solo all'apertura si percepisce un odore stantio.,True,OK
Profumo,338,All'apertura odore stagnante poi non si sente,"All'apertura si sente un odore stagnante, poi svanisce.",True,OK
Profumo,344,Poco intenso manca tra i commenti?,"È poco intenso, manca qualcosa.",True,OK
Profumo,363,Odore stantio e cipolla solo all’apertura,Odore stantio e di cipolla solo all'apertura.,True,OK
Profumo,378,"Odore vegetale strano …,buccia anguria?","Odore vegetale strano, simile alla buccia di anguria.",True,OK
Profumo,2,Erbe Balsamiche,Profumo di erbe balsamiche.,False,OK
Profumo,3,"Caffè,cacao amaro",Note di caffè e cacao amaro.,False,OK
Profumo,20,Cavolo cotto,Odore di cavolo cotto.,False,OK
Profumo,21,"Pozzo, acqua stagnante",Profumo di pozzo e acqua stagnante.,False,OK
Profumo,29,Cacao,Sapore di cacao.,False,OK
Profumo,41,Troppo delicato,Il sapore è troppo delicato.,False,OK
Profumo,42,"Cacao, alito da caffè",Note di cacao e alito di caffè.,False,OK
Profumo,44,Scarico,Odore di scarico.,False,OK
Profumo,45,"Il gorgonzola é un dubbio, non penalizzo troppo","Il gorgonzola suscita dei dubbi, ma non penalizzo troppo.",False,OK
Profumo,47,Vegetale buono,Profumo vegetale gradevole.,False,OK
Profumo,52,Sembra più  vecchio,Sembra più invecchiato.,False,OK
Profumo,53,Cacao,Sapore di cacao.,False,OK
Profumo,58,Alcool etilico,Odore di alcool etilico.,False,OK
Profumo,62,Lettiera,Odore di lettiera.,False,OK
Profumo,65,Alla apertura soltanto,Alla apertura soltanto.,False,OK
Profumo,66,Caffè,Caffè.,False,OK
Profumo,79,Lievito ?,Lievito?,False,OK
Profumo,81,Moderato. Nota non convincente di verdura cotta,"Moderato, con una nota poco convincente di verdura cotta.",False,OK
Profumo,87,Yogurt alla frutta più che parte acido,"Yogurt alla frutta, più che acido.",False,OK
Profumo,97,Alito al Caffè ...,Alito al caffè.,False,OK
Profumo,101,Cacao amaro in polvere,Cacao amaro in polvere.,False,OK
Profumo,102,Caffe bevuto,Caffè bevuto.,False,OK
Profumo,103,Un po'  di plastica gomma,Un po' di plastica gomma.,False,OK
Profumo,104,Biscotto,Biscotto.,False,OK
Profumo,105,PANE LIEVITO,Pane e lievito.,False,OK
Profumo,110,Cacao?,Cacao?,False,OK
Profumo,112,Prima olfazione non gradita. La definisco nostrano,La prima olfazione non è gradita; la definisco nostrano.,False,OK
Profumo,137,Crauti,Crauti.,False,OK
Profumo,148,Pecorino,Pecorino.,False,OK
Profumo,149,Alcool,Alcol.,False,OK
Profumo,154,Sa di grasso di prosciutto crudo,Ha un sapore di grasso di prosciutto crudo.,False,OK
Profumo,155,Amido,Sapore di amido.,False,OK
Profumo,159,Crem Caramel,Ricorda il cremoso al caramello.,False,OK
Profumo,160,Liquirizia,Sente di liquirizia.,False,OK
Profumo,169,Tanti sentori lattei. Ma anche vegetali strani,Presenta tanti sentori lattei e vegetali strani.,False,OK
Profumo,170,Nota svizzera di groviera,Ha una nota svizzera di groviera.,False,OK
Profumo,173,Troppa crosta,C'è troppa crosta.,False,OK
Profumo,177,Polvere...,Sembra polvere.,False,OK
Profumo,178,Kiwi...,Sente di kiwi.,False,OK
Profumo,180,Stalla al primo impatto poi si apre!!!,"All'inizio ha un odore di stalla, poi si apre.",False,OK
Profumo,181,Leggera fermentazione,C'è una leggera fermentazione.,False,OK
Profumo,186,Molto diversi i 4 pezzi e all'apertura,I quattro pezzi sono molto diversi e all'apertura.,False,OK
Profumo,187,Soprattutto all'apertura,Soprattutto all'apertura.,False,OK
Profumo,192,Crosta solo accennata,La crosta è solo accennata.,False,OK
Profumo,193,Kiwi...,Sento un aroma di kiwi.,False,OK
Profumo,194,Peccato per il fondo di bruciato,C'è un retrogusto di bruciato.,False,OK
Profumo,197,Strano. A tratti sentiva di pesce. Perplesso,"È strano, a tratti sembra di sentire odore di pesce.",False,OK
Profumo,198,Alcool!,Sento un forte odore di alcool.,False,OK
Profumo,199,Stalla ma solo al primo impatto!,"C'è un sentore di stalla, ma solo all'inizio.",False,OK
Profumo,201,Polvere,Sento un aroma di polvere.,False,OK
Profumo,203,Sento poco. Non so se perché  raffreddato o perché povero il fromage,"Sento poco, forse perché è raffreddato o il formaggio è di qualità bassa.",False,OK
Profumo,209,"Tanta nanna, ma nota di formaggio non trentingrana","C'è un sapore di formaggio, ma non ricorda il trentingrana.",False,OK
Profumo,220,Yogurt alla frutta,Sento un aroma di yogurt alla frutta.,False,OK
Profumo,221,Liquirizia,C'è un sentore di liquirizia.,False,OK
Profumo,222,Kiwi...,Sento un aroma di kiwi.,False,OK
Profumo,224,Alcol,C'è un forte odore di alcool.,False,OK
Profumo,225,Liquirizia,Sento un aroma di liquirizia.,False,OK
Profumo,226,Grasso di prosciutto crudo,C'è un sentore di grasso di prosciutto crudo.,False,OK
Profumo,228,Vinilico,Sento un odore vinilico.,False,OK
Profumo,238,Liquirizia,Sento un aroma di liquirizia.,False,OK
Profumo,241,Vaniglia?,C'è un sentore di vaniglia?,False,OK
Profumo,264,Non equilibrato nell' espressione,Non è equilibrato nell'espressione.,False,
Profumo,265,Quasi disturba!,Quasi disturbante.,False,
Profumo,271,Crauti,Sentore di crauti.,False,OK
Profumo,274,Confetteria,Sentore di confetteria.,False,OK
Profumo,275,Difettato? Odori strani...,Difettato con odori strani.,False,OK
Profumo,277,Profumo anomalo alla prima occasione fa diminuire i voto,Un profumo anomalo alla prima occasione fa diminuire il voto.,False,OK
Profumo,280,Anche alcol,C'è anche un sentore di alcool.,False,OK
Profumo,281,All'inizio stalla...ma lo cala,"All'inizio ho percepito odore di stalla, ma poi è diminuito.",False,OK
Profumo,290,Croste di polenta,Sentore di croste di polenta.,False,OK
Profumo,291,Crauti,Sentore di crauti.,False,OK
Profumo,301,Alcool,Sentore di alcool.,False,OK
Profumo,302,Polvere chiuso,Odore di polvere chiusa.,False,OK
Profumo,307,Anche yogurt,Sentore di yogurt.,False,OK
Profumo,310,Pomata,Ha una consistenza pomata.,False,OK
Profumo,313,Plastica,Ha un odore di plastica.,False,OK
Profumo,314,Lievito pane?,Ricorda il lievito per il pane.,False,OK
Profumo,319,Alcool,Ha un sentore di alcool.,False,OK
Profumo,321,Paglia,Odore di paglia.,False,OK
Profumo,327,Crauti,Ricorda i crauti.,False,OK
Profumo,329,Polvere,Ha un odore di polvere.,False,OK
Profumo,330,Al primo impatto non buono,Al primo impatto non è gradevole.,False,
Profumo,331,Banana verde,Ha un sentore di banana verde.,False,OK
Profumo,334,Non buono,Non è buono.,False,
Profumo,341,Intensità bassa,L'intensità è bassa.,False,OK
Profumo,346,Panna cotta,Ricorda la panna cotta.,False,OK
Profumo,348,Crauti,Ha un odore di crauti.,False,OK
Profumo,350,Funghi freschi,Ricorda i funghi freschi.,False,OK
Profumo,351,Eucalipto?,Potrebbe avere un sentore di eucalipto.,False,OK
Profumo,353,Crauti,Odore di crauti.,False,OK
Profumo,360,Paglia sporca,Ha un odore di paglia sporca.,False,OK
Profumo,368,Odori solo all’apertura,Odori percepibili solo all'apertura.,False,OK
Profumo,369,"Polvere,",Presenza di polvere.,False,OK
Profumo,370,"Cavolo, odori piu evidenti all’apertura","Odore di cavolo, più evidente all'apertura.",False,OK
Profumo,371,Sa di muffa bianca del camembert,Profumo di muffa bianca del camembert.,False,OK
Profumo,372,Solo all’apertura stagnante,Odore stagnante solo all'apertura.,False,OK
Profumo,374,Stagnante solo all’apertura,Stagnante solo all'apertura.,False,OK
Profumo,376,All’apertura più evidente od sgradevole,All'apertura l'odore è più evidente e sgradevole.,False,OK
Profumo,381,"Polvere anche,,,",Presenza di polvere.,False,OK
Profumo,385,Minerale-roccia,"Odore minerale, simile alla roccia.",False,OK
Profumo,386,"Peccato perla leggera nota animale,,",Peccato per la leggera nota animale.,False,OK
Profumo,388,"Intensità messa negativa perché non piacevole, puzza,,,,","Intensità negativa perché non piacevole, puzza.",False,OK
