id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista,peso
58,OK,Gli angoli del campione sono particolarmente colorati.,Angoli particolarmente colorati,Angoli particolarmente colorati,2020,C0M,TG_28,1.0
59,OK,Il campione presenta un colore giallo chiaro tendente al bianco.,Giallo chiaro tendente al bianco,Giallo chiaro tendente al bianco,2020,C0B,TG_14,1.0
60,OK,Il campione mostra un alone leggerissimo.,Alone leggerissimo,Alone leggerissimo,2020,C0B,TG_24,1.0
61,FUORI_ATTRIBUTO,Alone rosato.,Alone rosato,Alone rosato,2020,C0C,Q_09,1.0
62,FUORI_ATTRIBUTO,Alone centrale rosato.,Alone centrale rosato,Alone centrale rosato,2020,C0F,Q_09,1.0
63,OK,"Il campione presenta un lieve alone centrale, con bordi di colore giallo chiaro.",Lievissimo alone centrale. Ai bordi giallo chiaro,Lievissimo alone centrale. Ai bordi giallo chiaro,2020,C0F,TG_04,1.0
64,FUORI_ATTRIBUTO,Alone leggermente rosato.,Alone leggermente rosato,Alone leggermente rosato,2020,C0F,TG_14,1.0
65,FUORI_ATTRIBUTO,In corrispondenza dell'occhio c'è siero.,In corrispondenza dell'occhio con siero,In corrispondenza dell'occhio con siero,2020,C0N,TG_19,1.0
66,OK,Il campione mostra una piccola disomogeneità con un colore leggermente più carico in alcune zone.,In certe zone appena più  carico il colore: piccola disomogeneità,In certe zone appena più  carico il colore: piccola disomogeneità,2020,C0E,TG_04,1.0
67,OK,Il campione presenta un colore molto carico.,Molto carico,Molto carico,2020,C0A,TG_20,1.0
68,OK,Il campione presenta un verde solo accentuato.,Il verde è  solo accentuato,Il verde è  solo accentuato,2020,C0Q,TG_24,1.0
69,FUORI_ATTRIBUTO,Alone rosato.,Alone rosato,Alone rosato,2020,C0D,Q_09,1.0
70,OK,Il campione non presenta un colore paglierino.,Non paglierino,Non paglierino,2020,C0Q,TG_04,1.0
71,FUORI_ATTRIBUTO,Alone centrale tendente all'arancio.,Alone centrale te ne all...'arancio,Alone centrale te ne all...'arancio,2020,C0D,TG_04,1.0
72,ILLEGGIBILE,,Circa al carico..,Circa al carico..,2020,C0G,TG_24,1.0
73,OK,Il campione presenta un colore leggero.,Leggero,Leggero,2020,C0C,TG_19,1.0
74,FUORI_ATTRIBUTO,Alone arancio rosa.,Alone arancio rosa,Alone arancio rosa,2020,C0D,TG_19,1.0
75,FUORI_ATTRIBUTO,Ampio.,Ampio,Ampio,2020,C0Q,TG_19,1.0
76,OK,Il campione presenta un alone centrale molto marcato.,Alone centrale molto marcato,Alone centrale molto marcato,2020,C0D,TG_28,1.0
77,FUORI_ATTRIBUTO,Fascia di colore più chiaro.,Fascia di colore più chiaro,Fascia di colore più chiaro,2020,C0Q,Q_09,1.0
78,OK,"La marchiatura conferisce quasi un colore rosato, ma solo pochi centimetri dopo la crosta; l'alone è spostato verso uno dei due piatti.","Immatricolata conferisce quasi un colore rosato, ma solo pochi cm dopo la crosta. L'amore è spostato verso uno dei due piatti","marchiatura conferisce quasi un colore rosato, ma solo pochi cm dopo la crosta. l'alone è spostato verso uno dei due piatti",2020,C0Q,TG_28,1.0
79,OK,"Il campione non presenta un colore paglierino, ma è chiaro.","Non paglierino, ma chiaro","Non paglierino, ma chiaro",2020,C0E,TG_04,1.0
80,OK,Il campione non presenta un colore paglierino.,Non paglierino,Non paglierino,2020,C0L,TG_04,1.0
81,FUORI_ATTRIBUTO,Riflessi giallo verosimili; la struttura presenta anche leggera stiratura.,Riflessi giallo verosimili. Per la struttura no dimenticato anche leggera stiratura,Riflessi giallo verosimili. Per la struttura no dimenticato anche leggera stiratura,2020,C0C,TG_24,1.0
82,OK,"Il campione presenta una pasta di colore giallo paglierino chiaro, uniforme e priva di macchie, con una frattura scalza che evidenzia una leggera microocchiatura e la presenza di cristalli di tirosina.",Giallo paglierino chiarissimo,Giallo paglierino chiarissimo,2020,C0B,TG_04,1.0
83,OK,"Il campione presenta una pasta di colore giallo paglierino, con una tonalità più saturo nella zona mediana, uniforme e priva di macchie.",Più  saturo nella zona mediana,Più  saturo nella zona mediana,2020,C0C,TG_04,1.0
84,OK,"Il campione presenta un alone lievissimo, con una pasta di colore paglierino chiaro, uniforme e priva di macchie.",Alone lievissimo,Alone lievissimo,2020,C0D,TG_04,1.0
85,OK,"Il campione presenta un alone molto lieve, con una pasta di colore paglierino chiaro, uniforme e priva di macchie.",Alone molto lieve,Alone molto lieve,2020,C0O,TG_04,1.0
86,OK,"Il campione presenta una pasta di colore paglierino, uniforme e priva di imperfezioni.",Paglierino,Paglierino,2020,C0Q,TG_04,1.0
87,OK,"Il campione presenta una pasta di colore pallido, con una tenue striscia rosa parallela al piatto, ma rimane uniforme e priva di macchie.","Troppo pallida, tenue striscia rosa parallela a piatto","Troppo pallida, tenue striscia rosa parallela a piatto",2020,C0B,TG_19,1.0
88,OK,"Il campione presenta un giallo forse troppo carico, ma la pasta rimane uniforme e priva di macchie.",Forse troppo carico il giallo,Forse troppo carico il giallo,2020,C0C,TG_24,1.0
89,OK,"Il campione presenta qualche riflesso verde, ma la pasta mantiene un colore giallo paglierino uniforme.",Qualche riflesso verde,Qualche riflesso verde,2020,C0O,TG_24,1.0
90,FUORI_ATTRIBUTO,Il colore è troppo chiaro.,Colore troppo CHIARO,Colore troppo CHIARO,2020,C0B,TG_35,1.0
91,OK,"Il campione presenta una fascia, non un alone centrale, con una leggera saturazione della pasta.","C'è una fascia, non alone centrale, appena più  sarura","C'è una fascia, non alone centrale, appena più  sarura",2020,C0Q,TG_04,1.0
92,OK,"Il campione presenta solo riflessi verdi, ma la pasta rimane di un colore giallo paglierino uniforme.","Solo riflessi verdi,,,,","Solo riflessi verdi,,,,",2020,C0M,TG_24,1.0
93,OK,"Il campione presenta un alone rosato localizzato al centro, con una pasta di colore paglierino chiaro e uniforme.",Alone rosato localizzato al centro,Alone rosato localizzato al centro,2020,C0C,Q_09,1.0
94,OK,"Il campione non è paglierino, ma presenta una pasta appena più satura, uniforme e priva di macchie.",Non paglierino. Appena più  satura,Non paglierino. Appena più  satura,2020,C0G,TG_04,1.0
95,OK,"Il campione presenta una pasta di colore paglierino ai lati, con un giallo chiaro al centro, uniforme e priva di macchie.",Paglierino ai lati. Giallo chiaro al centro,Paglierino ai lati. Giallo chiaro al centro,2020,C0N,TG_04,1.0
96,OK,"Il campione presenta qualche leggerissima macchia rosata nella zona interessata da microocchiatura, ma la pasta rimane di un colore giallo paglierino.",Qualche leggerissima macchia rosata  nella zona interessata da microocchitura,Qualche leggerissima macchia rosata  nella zona interessata da microocchitura,2020,C0A,TG_13,1.0
97,OK,"Il campione presenta una leggerissima macchia rosata, ma la pasta è di colore giallo paglierino uniforme.",Leggerissima macchia rosata,Leggerissima macchia rosata,2020,C0G,TG_13,1.0
98,OK,"Il campione presenta una macchia centrale marroncina, ma la pasta rimane di un colore giallo paglierino uniforme.",Macchia centrale marroncina,Macchia centrale marroncina,2020,C0C,TG_19,1.0
99,OK,"Il campione presenta un colore rosa e nocciola nel centro, ma la pasta è di colore giallo paglierino uniforme.",Rosa e nocciola nel centro,Rosa e nocciola nel centro,2020,C0C,TG_24,1.0
100,CONFORME,"Il campione è di qualità visivamente gradevole, con una pasta ben formata.",Molto bello,Molto bello,2020,C0G,TG_24,0.5
101,FUORI_ATTRIBUTO,Il sapore è molto troppo carico.,Molto troppo carico,Molto troppo carico,2020,C0I,TG_24,1.0
102,OK,"Il campione presenta una grossa macchia scura in centro, irregolare.","Grossa macchia scura in centro, irregolare","Grossa macchia scura in centro, irregolare",2020,C0C,TG_28,1.0
103,OK,Si osserva un netto stacco tra il marrone della sottocrosta e la fascia chiara.,Molto netto lo stacco tra i il marrone sottoscritta e la fascia chiara,Molto netto lo stacco tra i il marrone sottoscritta e la fascia chiara,2020,C0P,Q_09,1.0
104,OK,"Il campione presenta un alone leggerissimo, che non compromette l'uniformità della pasta.",Alone leggerissimo,Alone leggerissimo,2020,C0N,TG_04,1.0
105,OK,Il campione presenta un alone rosato.,Alone rosato,Alone rosato,2020,C0D,TG_14,1.0
106,CONFORME,"Il campione mostra un aspetto visivamente gradevole, con una pasta ben strutturata.",Molto bello,Molto bello,2020,C0N,TG_24,0.5
107,OK,"Si nota una leggera ossidatura centrale, con un possibile alone.",Leggera ossidatura centrale ...alone?,Leggera ossidatura centrale ...alone?,2020,C0P,TG_24,1.0
108,OK,Il campione presenta macchie rosate al centro.,Macchie rosate al centro,Macchie rosate al centro,2020,C0H,Q_09,1.0
109,OK,Si osserva un alone lievissimo o ossidazione.,Alone lievissimo o ossidazione,Alone lievissimo o ossidazione,2020,C0M,TG_04,1.0
110,OK,Si notano due fasce longitudinali di colore differente.,2 fascia longitudinali di colore differente,2 fascia longitudinali di colore differente,2020,C0N,TG_04,1.0
111,OK,Il campione presenta una leggera area verdastra.,Leggera area verdastra,Leggera area verdastra,2020,C0C,TG_24,1.0
112,OK,Il campione presenta un alone centrale tendente al rosa pompelmo.,Alone centrale tendente al rosa pompelmo,Alone centrale tendente al rosa pompelmo,2020,C0P,TG_28,1.0
113,OK,Si osserva un alone centrale lievissimo.,Alone centrale lievissimo,Alone centrale lievissimo,2020,C0C,TG_04,1.0
114,OK,"La pasta è per lo più giallo chiaro, con un quarto laterale più saturo.",Per lo più  giallo chiaro. Un quarto laterale più  saturo.,Per lo più  giallo chiaro. Un quarto laterale più  saturo.,2020,C0D,TG_04,1.0
115,OK,In una pasta gialla carica si notano macchie o un alone nocciola.,In una pasta giallo carica macchie o alone nocciola,In una pasta giallo carica macchie o alone nocciola,2020,C0E,TG_04,1.0
116,OK,Il campione presenta un alone centrale rosato e un paio di punti neri dati da sporcizia.,Alone centrale rosato e un paio di punti neri dati da sporcizia(?),Alone centrale rosato e un paio di punti neri dati da sporcizia(?),2020,C0E,TG_28,1.0
117,FUORI_ATTRIBUTO,Il colore è influenzato dal sottocrosta.,Colore dato dal sottocrosta,Colore dato dal sottocrosta,2020,C0G,TG_28,1.0
118,OK,"Il campione presenta un alone centrale rosato e una striscia rosa abbastanza marcata, sempre al centro.","Alone centrale rosato e striscia rosa abbastanza marcata, sempre al centro","Alone centrale rosato e striscia rosa abbastanza marcata, sempre al centro",2020,C0P,TG_28,1.0
119,OK,Si osserva una saturazione appena più intensa verso il centro.,Appena più  saturo verso il centro. Poco poco,Appena più  saturo verso il centro. Poco poco,2020,C0D,TG_04,1.0
120,OK,Il campione presenta una saturazione leggermente più intensa come giallo.,Un po'  saturo come giallo,Un po'  saturo come giallo,2020,C0E,TG_04,1.0
121,FUORI_ATTRIBUTO,"Il centro è più carico, ma non presenta un vero e proprio alone.","Più  carico in centro, non vero e proprio alone","Più  carico in centro, non vero e proprio alone",2020,C0F,TG_04,1.0
122,OK,Il campione presenta un lieve alone centrale.,Leggero alone centrale,Leggero alone centrale,2020,C0Q,TG_13,1.0
123,FUORI_ATTRIBUTO,"Ci sono aree verdi e grigie, ma sono limitate.",Aree verdi e grigie ma limitatissima,Aree verdi e grigie ma limitatissima,2020,C0D,TG_24,1.0
124,FUORI_ATTRIBUTO,Si notano aree grigioastre sotto i piatti.,Aree grigiastro sotto i piatti,Aree grigiastro sotto i piatti,2020,C0Q,TG_24,1.0
125,FUORI_ATTRIBUTO,Sotto un piatto c'è una zona di pasta disidratata.,Sotto un piatto zona di pasta disidratata,Sotto un piatto zona di pasta disidratata,2020,C0M,Q_09,1.0
126,FUORI_ATTRIBUTO,Il colore non è proprio paglierino.,Non proprio paglierino,Non proprio paglierino,2020,C0A,TG_04,1.0
127,OK,"La pasta del campione è di un bel colore paglierino, uniforme e senza difetti.",Paglierino,Paglierino,2020,C0Q,TG_04,1.0
128,FUORI_ATTRIBUTO,Ci sono riflessi verdognoli.,Riflessi verdognoli,Riflessi verdognoli,2020,C0N,TG_24,1.0
129,OK,Il campione presenta un leggero alone verso un piatto.,Leggero alone verso un piatto,Leggero alone verso un piatto,2020,C0Q,TG_28,1.0
130,FUORI_ATTRIBUTO,Il colore appare pallido.,Pallido,Pallido,2020,C0R,TG_13,1.0
131,FUORI_ATTRIBUTO,Ho dato un voto basso a causa della frattura con evidente colore rosa; altrimenti avrei dato un voto alto.,"Voto basso per colpa della frattura con evidente colore rosa, altrimenti voto alto","Voto basso per colpa della frattura con evidente colore rosa, altrimenti voto alto",2020,C0I,TG_14,1.0
132,FUORI_ATTRIBUTO,Ci sono solo sfumature nocciola.,Solo sfumature nocciola,Solo sfumature nocciola,2020,C0B,TG_24,1.0
133,OK,Il campione presenta una pasta di colore giallo carico saturo con sfumature verdognole.,Giallo carico saturo e sfumature verdognole,Giallo carico saturo e sfumature verdognole,2020,C0O,TG_24,1.0
134,FUORI_ATTRIBUTO,"Non è paglierino, ma è chiaro.","Non paglierino, ma chiaro","Non paglierino, ma chiaro",2020,C0A,TG_04,1.0
135,OK,Il campione presenta un alone molto evidente.,Alone molto evidente,Alone molto evidente,2020,C0N,TG_04,1.0
136,OK,Il campione presenta un alone appena più carico.,Alone appena più  carico,Alone appena più  carico,2020,C0P,TG_04,1.0
137,OK,"Il campione presenta una pasta di colore paglierino, con una buona omogeneità.",Paglierino,Paglierino,2020,C0Q,TG_04,1.0
138,OK,Il campione presenta una piccola parte meno omogenea come colore.,Una piccola parte meno omogenea come colore,Una piccola parte meno omogenea come colore,2020,C0M,TG_24,1.0
139,FUORI_ATTRIBUTO,Un terzo è più chiaro.,1/3 più  chiaro,1/3 più  chiaro,2020,C0A,TG_04,1.0
140,OK,Il campione presenta un lieve alone nel centro.,lieve alone nel centro,lieve alone nel centro,2020,C0G,TG_04,1.0
141,FUORI_ATTRIBUTO,Non è paglierino.,Non paglierino,Non paglierino,2020,C0Q,TG_04,1.0
142,OK,"Il campione presenta una pasta di colore giallo pallido, uniforme e priva di macchie, con una frattura scalza che evidenzia una leggera microocchiatura e la presenza di cristalli di tirosina.",Giallo pallido,Giallo pallido,2020,C0D,TG_13,1.0
143,FUORI_ATTRIBUTO,In una parte si nota un colore più nocciola.,In una parte più nocciola,In una parte più nocciola,2020,C0D,TG_24,1.0
144,OK,Il campione presenta una pasta di colore carico.,Un po'  troppo carico,Un po'  troppo carico,2020,C0G,TG_24,1.0
145,OK,"Il campione presenta un alone rosato molto carico, con una pasta di colore uniforme e priva di macchie, evidenziando una leggera microocchiatura e cristalli di tirosina.",Alone rosato molto carico,Alone rosato molto carico,2020,C0P,Q_09,1.0
146,OK,"La pasta è di un colore paglierino chiaro, con una buona uniformità.",Paglierina,Paglierina,2020,C0E,TG_04,1.0
147,FUORI_ATTRIBUTO,"È chiaro, ma non paglierino.",Chiara ma non paglierino,Chiara ma non paglierino,2020,C0H,TG_04,1.0
148,FUORI_ATTRIBUTO,Presenta il più pesante alone di tutti i tempi.,Il più  pesante alone di tutti i tempi,Il più  pesante alone di tutti i tempi,2020,C0P,TG_04,1.0
149,OK,"Il campione presenta una macchia bruna vicino al centro, con una pasta di colore uniforme e priva di altre macchie, evidenziando una leggera microocchiatura e cristalli di tirosina.",Una macchia bruna vicino al centro,Una macchia bruna vicino al centro,2020,C0C,TG_13,1.0
150,FUORI_ATTRIBUTO,Il colore è simile al cipria.,Color cipria,Color cipria,2020,C0E,TG_19,1.0
151,ILLEGGIBILE,,Pessima!,Pessima!,2020,C0P,TG_24,1.0
152,OK,"Il campione presenta bordi completamente rosa, con una pasta di colore uniforme e priva di macchie, evidenziando una leggera microocchiatura e cristalli di tirosina.",I bordi sono completamente rosa,I bordi sono completamente rosa,2020,C0E,TG_28,1.0
153,OK,"Il campione presenta un alone centrale molto marcato, di colore quasi arancione, con una pasta di colore uniforme e priva di macchie, evidenziando una leggera microocchiatura e cristalli di tirosina.","Alone centrale molto marcato, di colore quasi arancione","Alone centrale molto marcato, di colore quasi arancione",2020,C0P,TG_28,1.0
154,OK,"Il campione presenta una leggera ossidazione al centro, con una pasta di colore uniforme e priva di macchie, evidenziando una leggera microocchiatura e cristalli di tirosina.",Appena più  ossidato al centro,Appena più  ossidato al centro,2020,C0A,TG_04,1.0
155,OK,"Il campione presenta due zone di colore più scuro al centro, con una pasta di colore uniforme e priva di macchie, evidenziando una leggera microocchiatura e cristalli di tirosina.",Più  concezione sembrano due zone di colore,Più  al centro sembrano due zone di colore,2020,C0G,TG_04,1.0
156,OK,"Il campione presenta una macchia poco visibile, con una pasta di colore uniforme e priva di macchie evidenti, evidenziando una leggera microocchiatura e cristalli di tirosina.",Una macchia poco visibile,Una macchia poco visibile,2020,C0G,TG_12,1.0
157,OK,"Il campione presenta una piccola macchia rossa, con una pasta di colore uniforme e priva di macchie evidenti, evidenziando una leggera microocchiatura e cristalli di tirosina.",Una piccola macchia rossa,Una piccola macchia rossa,2020,C0G,TG_13,1.0
158,OK,"Il campione presenta la presenza di una macchia rosata, con una pasta di colore uniforme e priva di macchie evidenti, evidenziando una leggera microocchiatura e cristalli di tirosina.",Presenza di una macchia rosata,Presenza di una macchia rosata,2020,C0G,TG_20,1.0
159,OK,"Il campione presenta lievi macchie rosate, con una pasta di colore uniforme e priva di macchie evidenti, evidenziando una leggera microocchiatura e cristalli di tirosina.",Lievi macchie rosate,Lievi macchie rosate,2020,C0L,TG_20,1.0
160,OK,"Il campione presenta un leggero alone arancio dato dalla crosta, con una pasta di colore uniforme e priva di macchie, evidenziando una leggera microocchiatura e cristalli di tirosina.",Leggero alone arancio dato dalla crosta,Leggero alone arancio dato dalla crosta,2020,C0O,TG_28,1.0
161,FUORI_ATTRIBUTO,C'è una macchia grigia.,Una macchia grigia,Una macchia grigia,2020,C0N,Q_09,1.0
162,OK,Il campione presenta un alone centrale leggero.,Alone leggero,Alone leggero,2020,C0R,TG_04,1.0
163,CONFORME,"Il campione presenta un colore gradevole, con una pasta ben formata.",Bel colore!,Bel colore!,2020,C0E,TG_24,0.5
164,FUORI_ATTRIBUTO,Alone centrale giallo verde con macchie scure.,Alone centrale giallo verde con macchie scure,Alone centrale giallo verde con macchie scure,2020,C0N,TG_28,1.0
